Date & Time     , T(C)  , H(%) 
2024/4/21 6:0:0 , 22.0 , 69.0
2024/4/21 6:30:0 , 22.0 , 70.0
2024/4/21 7:0:0 , 22.0 , 71.0
2024/4/21 7:30:0 , 22.0 , 71.0
2024/4/21 8:0:0 , 22.10 , 72.0
2024/4/21 8:30:0 , 22.50 , 72.0
2024/4/21 9:0:0 , 22.70 , 71.0
2024/4/21 9:30:0 , 22.70 , 71.0
2024/4/21 10:0:0 , 22.70 , 71.0
2024/4/21 10:30:0 , 22.90 , 70.0
2024/4/21 11:0:0 , 23.0 , 70.0
2024/4/21 11:30:0 , 23.0 , 70.0
2024/4/21 12:0:0 , 23.10 , 69.0
2024/4/21 12:30:0 , 23.30 , 70.0
2024/4/21 13:0:0 , 23.40 , 70.0
2024/4/21 13:30:0 , 23.50 , 70.0
2024/4/21 14:0:0 , 23.60 , 69.0
2024/4/21 14:30:0 , 23.70 , 68.0
2024/4/21 15:0:0 , 23.80 , 67.0
2024/4/21 15:30:0 , 23.90 , 67.0
2024/4/21 16:0:0 , 23.90 , 67.0
2024/4/21 16:30:0 , 23.90 , 67.0
2024/4/21 17:0:0 , 23.90 , 68.0
2024/4/21 17:30:0 , 24.0 , 68.0
2024/4/21 18:0:0 , 23.90 , 66.0
2024/4/21 18:30:0 , 23.80 , 67.0
2024/4/21 19:0:0 , 23.80 , 68.0
2024/4/21 19:30:0 , 23.80 , 68.0
2024/4/21 20:0:0 , 23.60 , 69.0
2024/4/21 20:30:0 , 23.50 , 69.0
2024/4/21 21:0:0 , 23.40 , 70.0
2024/4/21 21:30:0 , 23.30 , 70.0
2024/4/21 22:0:0 , 23.30 , 71.0
2024/4/21 22:30:0 , 23.10 , 72.0
2024/4/21 23:0:0 , 23.10 , 74.0
2024/4/21 23:30:0 , 23.0 , 74.0
2024/4/22 0:0:0 , 22.10 , 75.0
2024/4/22 0:30:0 , 21.60 , 74.0
2024/4/22 1:0:0 , 21.30 , 74.0
2024/4/22 1:30:0 , 21.0 , 72.0
2024/4/22 2:0:0 , 20.70 , 72.0
2024/4/22 2:30:0 , 20.40 , 75.0
2024/4/22 3:0:0 , 20.10 , 76.0
2024/4/22 3:30:0 , 20.0 , 76.0
2024/4/22 4:0:0 , 19.90 , 76.0
2024/4/22 4:30:0 , 19.70 , 77.0
2024/4/22 5:0:0 , 19.60 , 78.0
2024/4/22 5:30:0 , 19.50 , 78.0
2024/4/22 6:0:0 , 19.40 , 79.0
2024/4/22 6:30:0 , 19.50 , 79.0
2024/4/22 7:0:0 , 19.80 , 78.0
2024/4/22 7:30:0 , 20.60 , 77.0
2024/4/22 8:0:0 , 21.20 , 73.0
2024/4/22 8:30:0 , 21.50 , 70.0
2024/4/22 9:0:0 , 21.70 , 69.0
2024/4/22 9:30:0 , 22.0 , 70.0
2024/4/22 10:0:0 , 22.40 , 70.0
2024/4/22 10:30:0 , 23.10 , 70.0
2024/4/22 11:0:0 , 23.40 , 69.0
2024/4/22 11:30:0 , 23.80 , 69.0
2024/4/22 12:0:0 , 23.70 , 65.0
2024/4/22 12:30:0 , 23.80 , 64.0
2024/4/22 13:0:0 , 23.70 , 63.0
2024/4/22 13:30:0 , 23.70 , 62.0
2024/4/22 14:0:0 , 23.80 , 62.0
2024/4/22 14:30:0 , 23.90 , 61.0
2024/4/22 15:0:0 , 24.20 , 60.0
2024/4/22 15:30:0 , 24.30 , 60.0
2024/4/22 16:0:0 , 24.40 , 60.0
2024/4/22 16:30:0 , 24.30 , 61.0
2024/4/22 17:0:0 , 24.20 , 60.0
2024/4/22 17:30:0 , 24.10 , 61.0
2024/4/22 18:0:0 , 24.10 , 62.0
2024/4/22 18:30:0 , 24.20 , 63.0
2024/4/22 19:0:0 , 24.10 , 63.0
2024/4/22 19:30:0 , 24.20 , 63.0
2024/4/22 20:0:0 , 23.90 , 62.0
2024/4/22 20:30:0 , 23.80 , 64.0
2024/4/22 21:0:0 , 23.80 , 67.0
2024/4/22 21:30:0 , 23.80 , 67.0
2024/4/22 22:0:0 , 23.80 , 68.0
2024/4/22 22:30:0 , 23.80 , 69.0
2024/4/22 23:0:0 , 23.70 , 67.0
2024/4/22 23:30:0 , 23.60 , 65.0
2024/4/23 0:0:0 , 23.60 , 66.0
2024/4/23 0:30:0 , 23.50 , 67.0
2024/4/23 1:0:0 , 23.30 , 66.0
2024/4/23 1:30:0 , 23.10 , 65.0
2024/4/23 2:0:0 , 22.90 , 64.0
2024/4/23 2:30:0 , 22.80 , 67.0
2024/4/23 3:0:0 , 22.60 , 68.0
2024/4/23 3:30:0 , 22.50 , 68.0
2024/4/23 4:0:0 , 22.40 , 67.0
2024/4/23 4:30:0 , 22.30 , 67.0
2024/4/23 5:0:0 , 22.20 , 66.0
2024/4/23 5:30:0 , 22.20 , 67.0
2024/4/23 6:0:0 , 22.10 , 65.0
2024/4/23 6:30:0 , 22.20 , 66.0
2024/4/23 7:0:0 , 22.40 , 66.0
2024/4/23 7:30:0 , 22.50 , 65.0
2024/4/23 8:0:0 , 22.70 , 65.0
2024/4/23 8:30:0 , 22.80 , 65.0
2024/4/23 9:0:0 , 22.90 , 64.0
2024/4/23 9:30:0 , 23.0 , 64.0
2024/4/23 10:0:0 , 23.30 , 64.0
2024/4/23 10:30:0 , 23.40 , 64.0
2024/4/23 11:0:0 , 23.50 , 64.0
2024/4/23 11:30:0 , 23.80 , 64.0
2024/4/23 12:0:0 , 23.90 , 62.0
2024/4/23 12:30:0 , 24.0 , 63.0
2024/4/23 13:0:0 , 24.20 , 63.0
2024/4/23 13:30:0 , 24.40 , 63.0
2024/4/23 14:0:0 , 24.50 , 62.0
2024/4/23 14:30:0 , 24.60 , 61.0
2024/4/23 15:0:0 , 24.80 , 61.0
2024/4/23 15:30:0 , 24.90 , 62.0
2024/4/23 16:0:0 , 24.90 , 61.0
2024/4/23 16:30:0 , 25.0 , 62.0
2024/4/23 17:0:0 , 25.0 , 62.0
2024/4/23 17:30:0 , 25.10 , 62.0
2024/4/23 18:0:0 , 25.10 , 62.0
2024/4/23 18:30:0 , 25.0 , 62.0
2024/4/23 19:0:0 , 24.90 , 63.0
2024/4/23 19:30:0 , 24.80 , 63.0
2024/4/23 20:0:0 , 24.50 , 50.0
2024/4/23 20:30:0 , 24.50 , 35.0
2024/4/23 21:0:0 , 24.50 , 34.0
2024/4/23 21:30:0 , 24.40 , 35.0
2024/4/23 22:0:0 , 24.30 , 34.0
2024/4/23 22:30:0 , 24.30 , 38.0
2024/4/23 23:0:0 , 24.40 , 39.0
2024/4/23 23:30:0 , 24.30 , 41.0
2024/4/24 0:0:0 , 24.30 , 42.0
2024/4/24 0:30:0 , 24.0 , 37.0
2024/4/24 1:0:0 , 23.70 , 37.0
2024/4/24 1:30:0 , 23.50 , 37.0
2024/4/24 2:0:0 , 23.40 , 38.0
2024/4/24 2:30:0 , 23.20 , 40.0
2024/4/24 3:0:0 , 23.10 , 40.0
2024/4/24 3:30:0 , 23.0 , 41.0
2024/4/24 4:0:0 , 22.90 , 43.0
2024/4/24 4:30:0 , 22.80 , 45.0
2024/4/24 5:0:0 , 22.60 , 46.0
2024/4/24 5:30:0 , 22.50 , 49.0
2024/4/24 6:0:0 , 22.40 , 49.0
2024/4/24 6:30:0 , 22.50 , 48.0
2024/4/24 7:0:0 , 22.60 , 50.0
2024/4/24 7:30:0 , 22.70 , 50.0
2024/4/24 8:0:0 , 22.80 , 50.0
2024/4/24 8:30:0 , 23.0 , 51.0
2024/4/24 9:0:0 , 23.10 , 52.0
2024/4/24 9:30:0 , 23.40 , 52.0
2024/4/24 10:0:0 , 23.60 , 53.0
2024/4/24 10:30:0 , 23.90 , 54.0
2024/4/24 11:0:0 , 24.10 , 55.0
2024/4/24 11:30:0 , 24.20 , 55.0
2024/4/24 12:0:0 , 24.50 , 55.0
2024/4/24 12:30:0 , 24.80 , 56.0
2024/4/24 13:0:0 , 25.0 , 56.0
2024/4/24 13:30:0 , 25.0 , 54.0
2024/4/24 14:0:0 , 25.20 , 54.0
2024/4/24 14:30:0 , 25.20 , 53.0
2024/4/24 15:0:0 , 25.40 , 54.0
2024/4/24 15:30:0 , 25.70 , 55.0
2024/4/24 16:0:0 , 25.90 , 56.0
2024/4/24 16:30:0 , 25.90 , 57.0
2024/4/24 17:0:0 , 25.70 , 54.0
2024/4/24 17:30:0 , 25.40 , 54.0
2024/4/24 18:0:0 , 25.20 , 54.0
2024/4/24 18:30:0 , 25.10 , 54.0
2024/4/24 19:0:0 , 25.0 , 55.0
2024/4/24 19:30:0 , 24.80 , 54.0
2024/4/24 20:0:0 , 24.70 , 54.0
2024/4/24 20:30:0 , 24.50 , 55.0
2024/4/24 21:0:0 , 24.30 , 54.0
2024/4/24 21:30:0 , 24.30 , 55.0
2024/4/24 22:0:0 , 24.30 , 55.0
2024/4/24 22:30:0 , 24.30 , 56.0
2024/4/24 23:0:0 , 24.20 , 57.0
2024/4/24 23:30:0 , 24.20 , 57.0
2024/4/25 0:0:0 , 24.10 , 58.0
2024/4/25 0:30:0 , 24.0 , 58.0
2024/4/25 1:0:0 , 23.80 , 60.0
2024/4/25 1:30:0 , 23.70 , 61.0
2024/4/25 2:0:0 , 23.50 , 62.0
2024/4/25 2:30:0 , 23.40 , 63.0
2024/4/25 3:0:0 , 23.30 , 63.0
2024/4/25 3:30:0 , 23.20 , 65.0
2024/4/25 4:0:0 , 23.20 , 66.0
2024/4/25 4:30:0 , 23.10 , 66.0
2024/4/25 5:0:0 , 23.0 , 67.0
2024/4/25 5:30:0 , 23.0 , 67.0
2024/4/25 6:0:0 , 22.90 , 68.0
2024/4/25 6:30:0 , 23.0 , 68.0
2024/4/25 7:0:0 , 23.10 , 70.0
2024/4/25 7:30:0 , 23.30 , 69.0
2024/4/25 8:0:0 , 23.40 , 69.0
2024/4/25 8:30:0 , 23.50 , 68.0
2024/4/25 9:0:0 , 23.60 , 68.0
2024/4/25 9:30:0 , 23.90 , 68.0
2024/4/25 10:0:0 , 24.20 , 68.0
2024/4/25 10:30:0 , 24.40 , 67.0
2024/4/25 11:0:0 , 24.60 , 66.0
2024/4/25 11:30:0 , 24.70 , 65.0
2024/4/25 12:0:0 , 24.80 , 64.0
2024/4/25 12:30:0 , 24.90 , 65.0
2024/4/25 13:0:0 , 25.0 , 64.0
2024/4/25 13:30:0 , 25.10 , 64.0
2024/4/25 14:0:0 , 25.10 , 63.0
2024/4/25 14:30:0 , 25.10 , 63.0
2024/4/25 15:0:0 , 25.10 , 63.0
2024/4/25 15:30:0 , 25.30 , 64.0
2024/4/25 16:0:0 , 25.60 , 64.0
2024/4/25 16:30:0 , 25.70 , 63.0
2024/4/25 17:0:0 , 25.60 , 62.0
2024/4/25 17:30:0 , 25.60 , 62.0
2024/4/25 18:0:0 , 25.40 , 63.0
2024/4/25 18:30:0 , 25.30 , 64.0
2024/4/25 19:0:0 , 25.30 , 64.0
2024/4/25 19:30:0 , 25.30 , 64.0
2024/4/25 20:0:0 , 25.20 , 65.0
2024/4/25 20:30:0 , 25.10 , 65.0
2024/4/25 21:0:0 , 24.90 , 66.0
2024/4/25 21:30:0 , 24.80 , 66.0
2024/4/25 22:0:0 , 24.80 , 67.0
2024/4/25 22:30:0 , 24.90 , 69.0
2024/4/25 23:0:0 , 24.80 , 69.0
2024/4/25 23:30:0 , 24.80 , 70.0
2024/4/26 0:0:0 , 24.70 , 71.0
2024/4/26 0:30:0 , 24.70 , 71.0
2024/4/26 1:0:0 , 24.60 , 72.0
2024/4/26 1:30:0 , 24.60 , 72.0
2024/4/26 2:0:0 , 24.30 , 71.0
2024/4/26 2:30:0 , 24.0 , 71.0
2024/4/26 3:0:0 , 23.90 , 71.0
2024/4/26 3:30:0 , 23.70 , 72.0
2024/4/26 4:0:0 , 23.60 , 72.0
2024/4/26 4:30:0 , 23.40 , 73.0
2024/4/26 5:0:0 , 23.30 , 73.0
2024/4/26 5:30:0 , 23.20 , 74.0
2024/4/26 6:0:0 , 23.20 , 74.0
2024/4/26 6:30:0 , 23.20 , 75.0
2024/4/26 7:0:0 , 23.40 , 75.0
2024/4/26 7:30:0 , 23.60 , 74.0
2024/4/26 8:0:0 , 23.90 , 74.0
2024/4/26 8:30:0 , 24.10 , 73.0
2024/4/26 9:0:0 , 24.20 , 73.0
2024/4/26 9:30:0 , 24.40 , 72.0
2024/4/26 10:0:0 , 24.50 , 72.0
2024/4/26 10:30:0 , 24.90 , 71.0
2024/4/26 11:0:0 , 25.10 , 70.0
2024/4/26 11:30:0 , 25.20 , 69.0
2024/4/26 12:0:0 , 25.30 , 68.0
2024/4/26 12:30:0 , 25.30 , 68.0
2024/4/26 13:0:0 , 25.40 , 67.0
2024/4/26 13:30:0 , 25.80 , 68.0
2024/4/26 14:0:0 , 26.0 , 68.0
2024/4/26 14:30:0 , 26.30 , 67.0
2024/4/26 15:0:0 , 26.30 , 67.0
2024/4/26 15:30:0 , 26.50 , 67.0
2024/4/26 16:0:0 , 26.50 , 67.0
2024/4/26 16:30:0 , 26.70 , 67.0
2024/4/26 17:0:0 , 26.70 , 67.0
2024/4/26 17:30:0 , 26.30 , 65.0
2024/4/26 18:0:0 , 26.10 , 65.0
2024/4/26 18:30:0 , 26.10 , 64.0
2024/4/26 19:0:0 , 26.20 , 65.0
2024/4/26 19:30:0 , 26.20 , 65.0
2024/4/26 20:0:0 , 25.90 , 65.0
2024/4/26 20:30:0 , 25.80 , 66.0
2024/4/26 21:0:0 , 25.70 , 66.0
2024/4/26 21:30:0 , 25.70 , 68.0
2024/4/26 22:0:0 , 25.70 , 69.0
2024/4/26 22:30:0 , 25.70 , 68.0
2024/4/26 23:0:0 , 25.60 , 69.0
2024/4/26 23:30:0 , 25.50 , 69.0
2024/4/27 0:0:0 , 25.40 , 70.0
2024/4/27 0:30:0 , 25.30 , 70.0
2024/4/27 1:0:0 , 25.0 , 71.0
2024/4/27 1:30:0 , 24.80 , 72.0
2024/4/27 2:0:0 , 24.60 , 73.0
2024/4/27 2:30:0 , 24.50 , 74.0
2024/4/27 3:0:0 , 24.30 , 75.0
2024/4/27 3:30:0 , 24.20 , 75.0
2024/4/27 4:0:0 , 24.20 , 75.0
2024/4/27 4:30:0 , 24.10 , 76.0
2024/4/27 5:0:0 , 24.0 , 76.0
2024/4/27 5:30:0 , 23.90 , 76.0
2024/4/27 6:0:0 , 24.0 , 77.0
2024/4/27 6:30:0 , 24.0 , 78.0
2024/4/27 7:0:0 , 24.20 , 78.0
2024/4/27 7:30:0 , 24.40 , 77.0
2024/4/27 8:0:0 , 24.80 , 76.0
2024/4/27 8:30:0 , 25.10 , 74.0
2024/4/27 9:0:0 , 25.40 , 74.0
2024/4/27 9:30:0 , 25.70 , 74.0
2024/4/27 10:0:0 , 25.90 , 73.0
2024/4/27 10:30:0 , 26.0 , 72.0
2024/4/27 11:0:0 , 26.10 , 72.0
2024/4/27 11:30:0 , 26.20 , 71.0
2024/4/27 12:0:0 , 26.40 , 70.0
2024/4/27 12:30:0 , 26.50 , 69.0
2024/4/27 13:0:0 , 26.40 , 68.0
2024/4/27 13:30:0 , 26.50 , 67.0
2024/4/27 14:0:0 , 26.70 , 67.0
2024/4/27 14:30:0 , 26.70 , 67.0
2024/4/27 15:0:0 , 26.70 , 66.0
2024/4/27 15:30:0 , 26.80 , 65.0
2024/4/27 16:0:0 , 27.0 , 65.0
2024/4/27 16:30:0 , 27.0 , 65.0
2024/4/27 17:0:0 , 27.0 , 65.0
2024/4/27 17:30:0 , 26.90 , 65.0
2024/4/27 18:0:0 , 27.0 , 65.0
2024/4/27 18:30:0 , 26.90 , 64.0
2024/4/27 19:0:0 , 26.80 , 65.0
2024/4/27 19:30:0 , 26.70 , 65.0
2024/4/27 20:0:0 , 26.70 , 66.0
2024/4/27 20:30:0 , 26.60 , 67.0
2024/4/27 21:0:0 , 26.40 , 68.0
2024/4/27 21:30:0 , 26.40 , 70.0
2024/4/27 22:0:0 , 26.40 , 71.0
2024/4/27 22:30:0 , 26.40 , 72.0
2024/4/27 23:0:0 , 26.30 , 74.0
2024/4/27 23:30:0 , 26.20 , 75.0
2024/4/28 0:0:0 , 26.20 , 75.0
2024/4/28 0:30:0 , 26.0 , 76.0
2024/4/28 1:0:0 , 25.80 , 78.0
2024/4/28 1:30:0 , 25.70 , 79.0
2024/4/28 2:0:0 , 25.60 , 80.0
2024/4/28 2:30:0 , 25.50 , 81.0
2024/4/28 3:0:0 , 25.40 , 82.0
2024/4/28 3:30:0 , 25.40 , 82.0
2024/4/28 4:0:0 , 25.30 , 83.0
2024/4/28 4:30:0 , 25.30 , 84.0
2024/4/28 5:0:0 , 25.0 , 87.0
2024/4/28 5:30:0 , 24.80 , 87.0
2024/4/28 6:0:0 , 24.60 , 86.0
2024/4/28 6:30:0 , 24.70 , 86.0
2024/4/28 7:0:0 , 24.70 , 86.0
2024/4/28 7:30:0 , 24.70 , 86.0
2024/4/28 8:0:0 , 24.90 , 85.0
2024/4/28 8:30:0 , 25.10 , 84.0
2024/4/28 9:0:0 , 25.20 , 83.0
2024/4/28 9:30:0 , 25.20 , 83.0
2024/4/28 10:0:0 , 25.30 , 82.0
2024/4/28 10:30:0 , 25.50 , 81.0
2024/4/28 11:0:0 , 25.80 , 80.0
2024/4/28 11:30:0 , 26.0 , 80.0
2024/4/28 12:0:0 , 25.10 , 75.0
2024/4/28 12:30:0 , 24.40 , 81.0
2024/4/28 13:0:0 , 24.70 , 78.0
2024/4/28 13:30:0 , 24.80 , 77.0
2024/4/28 14:0:0 , 24.80 , 81.0
2024/4/28 14:30:0 , 25.0 , 82.0
2024/4/28 15:0:0 , 24.60 , 81.0
2024/4/28 15:30:0 , 24.50 , 81.0
2024/4/28 16:0:0 , 23.90 , 79.0
2024/4/28 16:30:0 , 23.70 , 80.0
2024/4/28 17:0:0 , 23.30 , 79.0
2024/4/28 17:30:0 , 24.0 , 78.0
2024/4/28 18:0:0 , 23.30 , 78.0
2024/4/28 18:30:0 , 23.20 , 78.0
2024/4/28 19:0:0 , 23.20 , 78.0
2024/4/28 19:30:0 , 23.10 , 77.0
2024/4/28 20:0:0 , 22.90 , 77.0
2024/4/28 20:30:0 , 22.80 , 77.0
2024/4/28 21:0:0 , 23.20 , 77.0
2024/4/28 21:30:0 , 23.20 , 76.0
2024/4/28 22:0:0 , 22.90 , 74.0
2024/4/28 22:30:0 , 22.90 , 74.0
2024/4/28 23:0:0 , 22.70 , 73.0
2024/4/28 23:30:0 , 22.60 , 73.0
2024/4/29 0:0:0 , 22.60 , 73.0
2024/4/29 0:30:0 , 22.60 , 72.0
2024/4/29 1:0:0 , 22.50 , 72.0
2024/4/29 1:30:0 , 22.40 , 73.0
2024/4/29 2:0:0 , 22.50 , 73.0
2024/4/29 2:30:0 , 22.20 , 73.0
2024/4/29 3:0:0 , 22.0 , 73.0
2024/4/29 3:30:0 , 21.70 , 74.0
2024/4/29 4:0:0 , 21.50 , 74.0
2024/4/29 4:30:0 , 21.40 , 75.0
2024/4/29 5:0:0 , 21.30 , 75.0
2024/4/29 5:30:0 , 21.30 , 75.0
2024/4/29 6:0:0 , 21.40 , 75.0
2024/4/29 6:30:0 , 21.40 , 75.0
2024/4/29 7:0:0 , 21.60 , 74.0
2024/4/29 7:30:0 , 21.80 , 73.0
2024/4/29 8:0:0 , 21.90 , 74.0
2024/4/29 8:30:0 , 22.20 , 73.0
2024/4/29 9:0:0 , 23.10 , 72.0
2024/4/29 9:30:0 , 23.30 , 71.0
2024/4/29 10:0:0 , 23.60 , 71.0
2024/4/29 10:30:0 , 24.10 , 70.0
2024/4/29 11:0:0 , 24.10 , 70.0
2024/4/29 11:30:0 , 24.20 , 71.0
2024/4/29 12:0:0 , 24.30 , 71.0
2024/4/29 12:30:0 , 24.40 , 70.0
2024/4/29 13:0:0 , 24.40 , 70.0
2024/4/29 13:30:0 , 24.50 , 71.0
2024/4/29 14:0:0 , 24.50 , 70.0
2024/4/29 14:30:0 , 24.80 , 70.0
2024/4/29 15:0:0 , 24.70 , 70.0
2024/4/29 15:30:0 , 24.60 , 70.0
2024/4/29 16:0:0 , 24.70 , 70.0
2024/4/29 16:30:0 , 24.70 , 71.0
2024/4/29 17:0:0 , 24.80 , 71.0
2024/4/29 17:30:0 , 24.80 , 71.0
2024/4/29 18:0:0 , 24.70 , 71.0
2024/4/29 18:30:0 , 24.60 , 71.0
2024/4/29 19:0:0 , 24.50 , 70.0
2024/4/29 19:30:0 , 23.80 , 72.0
2024/4/29 20:0:0 , 23.40 , 73.0
2024/4/29 20:30:0 , 23.30 , 73.0
2024/4/29 21:0:0 , 23.10 , 73.0
2024/4/29 21:30:0 , 22.80 , 73.0
2024/4/29 22:0:0 , 22.70 , 73.0
2024/4/29 22:30:0 , 22.60 , 72.0
2024/4/29 23:0:0 , 22.70 , 73.0
2024/4/29 23:30:0 , 22.50 , 71.0
2024/4/30 0:0:0 , 22.50 , 71.0
2024/4/30 0:30:0 , 22.20 , 73.0
2024/4/30 1:0:0 , 21.60 , 77.0
2024/4/30 1:30:0 , 21.10 , 80.0
2024/4/30 2:0:0 , 20.80 , 81.0
2024/4/30 2:30:0 , 20.80 , 82.0
2024/4/30 3:0:0 , 20.70 , 83.0
2024/4/30 3:30:0 , 20.60 , 84.0
2024/4/30 4:0:0 , 20.40 , 85.0
2024/4/30 4:30:0 , 20.20 , 86.0
2024/4/30 5:0:0 , 20.0 , 85.0
2024/4/30 5:30:0 , 19.70 , 85.0
2024/4/30 6:0:0 , 19.20 , 85.0
2024/4/30 6:30:0 , 18.80 , 86.0
2024/4/30 7:0:0 , 18.60 , 86.0
2024/4/30 7:30:0 , 18.60 , 85.0
2024/4/30 8:0:0 , 18.40 , 85.0
2024/4/30 8:30:0 , 18.0 , 86.0
2024/4/30 9:0:0 , 17.90 , 85.0
2024/4/30 9:30:0 , 17.70 , 83.0
2024/4/30 10:0:0 , 17.50 , 82.0
2024/4/30 10:30:0 , 17.40 , 81.0
2024/4/30 11:0:0 , 17.20 , 82.0
2024/4/30 11:30:0 , 17.10 , 81.0
2024/4/30 12:0:0 , 17.50 , 81.0
2024/4/30 12:30:0 , 17.60 , 80.0
2024/4/30 13:0:0 , 17.50 , 80.0
2024/4/30 13:30:0 , 18.10 , 80.0
2024/4/30 14:0:0 , 18.90 , 78.0
2024/4/30 14:30:0 , 18.60 , 76.0
2024/4/30 15:0:0 , 17.90 , 77.0
2024/4/30 15:30:0 , 17.30 , 80.0
2024/4/30 16:0:0 , 16.90 , 81.0
2024/4/30 16:30:0 , 16.90 , 81.0
2024/4/30 17:0:0 , 18.10 , 80.0
2024/4/30 17:30:0 , 17.30 , 81.0
2024/4/30 18:0:0 , 17.40 , 81.0
2024/4/30 18:30:0 , 17.20 , 81.0
2024/4/30 19:0:0 , 17.20 , 81.0
2024/4/30 19:30:0 , 17.10 , 80.0
2024/4/30 20:0:0 , 17.30 , 80.0
2024/4/30 20:30:0 , 17.30 , 78.0
2024/4/30 21:0:0 , 17.30 , 77.0
2024/4/30 21:30:0 , 17.20 , 77.0
2024/4/30 22:0:0 , 17.20 , 77.0
2024/4/30 22:30:0 , 17.30 , 77.0
2024/4/30 23:0:0 , 17.50 , 76.0
2024/4/30 23:30:0 , 17.50 , 75.0
2024/5/1 0:0:0 , 17.40 , 74.0
2024/5/1 0:30:0 , 17.30 , 75.0
2024/5/1 1:0:0 , 17.20 , 75.0
2024/5/1 1:30:0 , 17.20 , 75.0
2024/5/1 2:0:0 , 17.10 , 74.0
2024/5/1 2:30:0 , 17.10 , 74.0
2024/5/1 3:0:0 , 17.0 , 73.0
2024/5/1 3:30:0 , 17.0 , 71.0
2024/5/1 4:0:0 , 17.0 , 71.0
2024/5/1 4:30:0 , 17.0 , 71.0
2024/5/1 5:0:0 , 17.0 , 71.0
2024/5/1 5:30:0 , 17.10 , 70.0
2024/5/1 6:0:0 , 17.10 , 70.0
2024/5/1 6:30:0 , 17.10 , 71.0
2024/5/1 7:0:0 , 17.30 , 71.0
2024/5/1 7:30:0 , 17.50 , 70.0
2024/5/1 8:0:0 , 17.80 , 69.0
2024/5/1 8:30:0 , 18.50 , 67.0
2024/5/1 9:0:0 , 19.0 , 65.0
2024/5/1 9:30:0 , 19.50 , 65.0
2024/5/1 10:0:0 , 20.10 , 64.0
2024/5/1 10:30:0 , 20.40 , 64.0
2024/5/1 11:0:0 , 20.70 , 63.0
2024/5/1 11:30:0 , 21.10 , 62.0
2024/5/1 12:0:0 , 21.10 , 62.0
2024/5/1 12:30:0 , 21.0 , 62.0
2024/5/1 13:0:0 , 21.20 , 62.0
2024/5/1 13:30:0 , 21.10 , 63.0
2024/5/1 14:0:0 , 21.20 , 63.0
2024/5/1 14:30:0 , 21.30 , 62.0
2024/5/1 15:0:0 , 21.50 , 62.0
2024/5/1 15:30:0 , 21.50 , 62.0
2024/5/1 16:0:0 , 21.40 , 62.0
2024/5/1 16:30:0 , 21.30 , 62.0
2024/5/1 17:0:0 , 21.30 , 62.0
2024/5/1 17:30:0 , 21.20 , 63.0
2024/5/1 18:0:0 , 21.10 , 63.0
2024/5/1 18:30:0 , 20.90 , 64.0
2024/5/1 19:0:0 , 20.60 , 65.0
2024/5/1 19:30:0 , 20.40 , 66.0
2024/5/1 20:0:0 , 20.20 , 67.0
2024/5/1 20:30:0 , 20.10 , 67.0
2024/5/1 21:0:0 , 20.0 , 68.0
2024/5/1 21:30:0 , 19.90 , 68.0
2024/5/1 22:0:0 , 19.90 , 68.0
2024/5/1 22:30:0 , 19.90 , 69.0
2024/5/1 23:0:0 , 19.80 , 69.0
2024/5/1 23:30:0 , 19.80 , 69.0
2024/5/2 0:0:0 , 19.70 , 70.0
2024/5/2 0:30:0 , 19.60 , 70.0
2024/5/2 1:0:0 , 19.60 , 71.0
2024/5/2 1:30:0 , 19.60 , 71.0
2024/5/2 2:0:0 , 19.50 , 71.0
2024/5/2 2:30:0 , 19.50 , 71.0
2024/5/2 3:0:0 , 19.50 , 72.0
2024/5/2 3:30:0 , 19.40 , 72.0
2024/5/2 4:0:0 , 19.40 , 72.0
2024/5/2 4:30:0 , 19.40 , 72.0
2024/5/2 5:0:0 , 19.30 , 72.0
2024/5/2 5:30:0 , 19.30 , 72.0
2024/5/2 6:0:0 , 19.30 , 72.0
2024/5/2 6:30:0 , 19.50 , 72.0
2024/5/2 7:0:0 , 19.70 , 72.0
2024/5/2 7:30:0 , 20.20 , 70.0
2024/5/2 8:0:0 , 20.60 , 69.0
2024/5/2 8:30:0 , 20.70 , 68.0
2024/5/2 9:0:0 , 21.10 , 66.0
2024/5/2 9:30:0 , 21.20 , 65.0
2024/5/2 10:0:0 , 21.30 , 64.0
2024/5/2 10:30:0 , 21.50 , 63.0
2024/5/2 11:0:0 , 21.50 , 63.0
2024/5/2 11:30:0 , 21.50 , 62.0
2024/5/2 12:0:0 , 21.70 , 61.0
2024/5/2 12:30:0 , 21.80 , 61.0
2024/5/2 13:0:0 , 22.0 , 60.0
2024/5/2 13:30:0 , 22.10 , 59.0
2024/5/2 14:0:0 , 22.0 , 59.0
2024/5/2 14:30:0 , 22.0 , 59.0
2024/5/2 15:0:0 , 22.10 , 59.0
2024/5/2 15:30:0 , 22.10 , 59.0
2024/5/2 16:0:0 , 21.80 , 60.0
2024/5/2 16:30:0 , 21.80 , 60.0
2024/5/2 17:0:0 , 21.80 , 60.0
2024/5/2 17:30:0 , 21.80 , 61.0
2024/5/2 18:0:0 , 21.70 , 61.0
2024/5/2 18:30:0 , 21.60 , 61.0
2024/5/2 19:0:0 , 21.50 , 62.0
2024/5/2 19:30:0 , 21.40 , 62.0
2024/5/2 20:0:0 , 21.10 , 63.0
2024/5/2 20:30:0 , 21.0 , 64.0
2024/5/2 21:0:0 , 20.80 , 64.0
